article_id,article_version,last_updated,r_ncd_id,r_ncd_version,related_num,source_article_id,url
59805,20,04/30/2025,9,1,2,59805,/data/ncd?ncdid=9&ncdver=1
59805,20,04/30/2025,239,1,3,59805,/data/ncd?ncdid=239&ncdver=1
59805,20,04/30/2025,213,1,4,59805,/data/ncd?ncdid=213&ncdver=1
58395,44,04/29/2025,333,1,1,58395,/data/ncd?ncdid=333&ncdver=1
57772,81,04/30/2025,0,1,1,57772,/data/ncd?ncdid=0&ncdver=1
55162,20,04/29/2025,0,1,1,55162,/data/ncd?ncdid=0&ncdver=1
59649,30,04/30/2025,0,1,1,59649,/data/ncd?ncdid=0&ncdver=1
57100,51,04/30/2025,0,1,1,57100,/data/ncd?ncdid=0&ncdver=1
52535,14,04/29/2025,0,1,1,52535,/data/ncd?ncdid=0&ncdver=1
56973,69,04/29/2025,0,1,1,56973,/data/ncd?ncdid=0&ncdver=1
58788,18,04/29/2025,217,1,1,58788,/data/ncd?ncdid=217&ncdver=1
59636,34,04/29/2025,0,1,1,59636,/data/ncd?ncdid=0&ncdver=1
56853,102,04/29/2025,0,1,1,56853,/data/ncd?ncdid=0&ncdver=1
60437,4,07/17/2026,0,1,1,60437,/data/ncd?ncdid=0&ncdver=1
59641,35,04/29/2025,0,1,1,59641,/data/ncd?ncdid=0&ncdver=1
58741,18,04/29/2025,0,1,1,58741,/data/ncd?ncdid=0&ncdver=1
57526,93,04/29/2025,0,1,1,57526,/data/ncd?ncdid=0&ncdver=1
60274,4,07/01/2026,112,3,1,60274,/data/ncd?ncdid=112&ncdver=3
57114,21,05/19/2026,0,1,1,57114,/data/ncd?ncdid=0&ncdver=1
57751,28,05/19/2026,0,1,1,57751,/data/ncd?ncdid=0&ncdver=1
58364,39,04/29/2025,0,1,1,58364,/data/ncd?ncdid=0&ncdver=1
56612,35,04/29/2025,0,1,1,56612,/data/ncd?ncdid=0&ncdver=1
56394,32,04/29/2025,0,1,1,56394,/data/ncd?ncdid=0&ncdver=1
60324,3,05/21/2026,0,1,1,60324,/data/ncd?ncdid=0&ncdver=1
56199,130,05/20/2026,372,2,1,56199,/data/ncd?ncdid=372&ncdver=2
60436,4,07/17/2026,0,1,1,60436,/data/ncd?ncdid=0&ncdver=1
53021,141,04/30/2025,0,1,1,53021,/data/ncd?ncdid=0&ncdver=1
60381,3,05/21/2026,322,1,1,60381,/data/ncd?ncdid=322&ncdver=1
52399,75,04/29/2025,158,1,1,52399,/data/ncd?ncdid=158&ncdver=1
58649,13,04/30/2025,0,1,1,58649,/data/ncd?ncdid=0&ncdver=1
59632,23,04/29/2025,0,1,1,59632,/data/ncd?ncdid=0&ncdver=1
59707,25,04/29/2025,0,1,1,59707,/data/ncd?ncdid=0&ncdver=1
59915,27,04/29/2025,333,1,1,59915,/data/ncd?ncdid=333&ncdver=1
52825,12,04/29/2025,0,1,1,52825,/data/ncd?ncdid=0&ncdver=1
53020,3,04/29/2025,0,1,1,53020,/data/ncd?ncdid=0&ncdver=1
56588,33,04/29/2025,9,1,1,56588,/data/ncd?ncdid=9&ncdver=1
56588,33,04/29/2025,60,1,2,56588,/data/ncd?ncdid=60&ncdver=1
56588,33,04/29/2025,18,1,3,56588,/data/ncd?ncdid=18&ncdver=1
53019,15,04/29/2025,0,1,1,53019,/data/ncd?ncdid=0&ncdver=1
56198,11,04/29/2025,0,1,1,56198,/data/ncd?ncdid=0&ncdver=1
52434,51,04/29/2025,0,1,1,52434,/data/ncd?ncdid=0&ncdver=1
59218,5,04/29/2025,0,1,1,59218,/data/ncd?ncdid=0&ncdver=1
52447,30,04/29/2025,57,1,1,52447,/data/ncd?ncdid=57&ncdver=1
59661,3,04/29/2025,0,1,1,59661,/data/ncd?ncdid=0&ncdver=1
59217,5,04/29/2025,0,1,1,59217,/data/ncd?ncdid=0&ncdver=1
