57065,32,Behavioral Health Treatment/Services - Electroshock Treatment,05/29/2026,N,0901,15
57065,32,Behavioral Health Treatment/Services - Individual Therapy,05/29/2026,N,0914,15
57065,32,Behavioral Health Treatment/Services - Group Therapy,05/29/2026,N,0915,15
57065,32,Behavioral Health Treatment/Services - Family Therapy,05/29/2026,N,0916,15
57065,32,Behavioral Health Treatment/Services - Testing,05/29/2026,N,0918,15
58477,22,Radiology - Diagnostic - General Classification,05/21/2026,X,0320,15
58477,22,Radiology - Diagnostic - Angiocardiography,05/21/2026,Y,0321,15
58477,22,Radiology - Diagnostic - Arthrography,05/21/2026,Y,0322,15
58477,22,Radiology - Diagnostic - Arteriography,05/21/2026,Y,0323,15
58477,22,Radiology - Diagnostic - Chest X-Ray,05/21/2026,Y,0324,15
58477,22,Radiology - Diagnostic - Other Radiology - Diagnostic,05/21/2026,Z,0329,15
58477,22,Operating Room Services - General Classification,05/21/2026,X,0360,15
58477,22,Operating Room Services - Minor Surgery,05/21/2026,Y,0361,15
58477,22,Operating Room Services - Organ Transplant - Other than Kidney,05/21/2026,Y,0362,15
58477,22,Operating Room Services - Kidney Transplant,05/21/2026,Y,0367,15
58477,22,Operating Room Services - Other OR Services,05/21/2026,Z,0369,15
58477,22,Emergency Room - General Classification,05/21/2026,X,0450,15
58477,22,Emergency Room - EMTALA Emergency Medical Screening Services,05/21/2026,Y,0451,15
58477,22,Emergency Room - ER Beyond EMTALA Screening,05/21/2026,Y,0452,15
58477,22,Emergency Room - Urgent Care,05/21/2026,Y,0456,15
58477,22,Emergency Room - Other Emergency Room,05/21/2026,Z,0459,15
58477,22,Ambulatory Surgical Care - General Classification,05/21/2026,X,0490,15
58477,22,Ambulatory Surgical Care - Other Ambulatory Surgical Care,05/21/2026,Z,0499,15
58477,22,Clinic - General Classification,05/21/2026,X,0510,15
58477,22,Clinic - Chronic Pain Center,05/21/2026,Y,0511,15
58477,22,Clinic - Dental Clinic,05/21/2026,Y,0512,15
58477,22,Clinic - Psychiatric Clinic,05/21/2026,Y,0513,15
58477,22,Clinic - OB-GYN Clinic,05/21/2026,Y,0514,15
58477,22,Clinic - Pediatric Clinic,05/21/2026,Y,0515,15
58477,22,Clinic - Urgent Care Clinic,05/21/2026,Y,0516,15
58477,22,Clinic - Family Practice Clinic,05/21/2026,Y,0517,15
58477,22,Clinic - Other Clinic,05/21/2026,Z,0519,15
58477,22,Freestanding Clinic - General Classification,05/21/2026,X,0520,15
58477,22,Freestanding Clinic - Clinic Visit by Member to RHC/FQHC,05/21/2026,Y,0521,15
58477,22,Freestanding Clinic - Home Visit by RHC/FQHC Practitioner,05/21/2026,Y,0522,15
58477,22,Freestanding Clinic - Family Practice Clinic,05/21/2026,Y,0523,15
58477,22,Freestanding Clinic - Visit by RHC/FQHC Practitioner to a Member in a SNF or Skilled Swing Bed in a Covered Part A Stay,05/21/2026,Y,0524,15
58477,22,Freestanding Clinic - Visit by RHC/FQHC Practitioner to a Member in a SNF (not in a Covered Part A Stay) or NF or ICF MR or Other Residential Facility,05/21/2026,Y,0525,15
58477,22,Freestanding Clinic - Urgent Care Clinic,05/21/2026,Y,0526,15
58477,22,Freestanding Clinic - Visiting Nurse Service(s) to a Member's Home when in a Home Health Shortage Area,05/21/2026,Y,0527,15
58477,22,Freestanding Clinic - Visit by RHC/FQHC Practitioner to Other non-RHC/FQHC site (e.g. Scene of Accident),05/21/2026,Y,0528,15
58477,22,Freestanding Clinic - Other Freestanding Clinic,05/21/2026,Z,0529,15
58477,22,Specialty Services - General Classification,05/21/2026,X,0760,15
58477,22,Specialty Services - Treatment Room,05/21/2026,Y,0761,15
